S1_TN	S1_TP	S2_TN	S2_TP	S3_TN	S3_TP	S4_TN	S4_TP	S5_TN	S5_TP	S6_TN	S6_TP	S7_TN	S7_TP
RECQL5	338	398	423	545	572	593	352	598	475	574	530	455	531	500
PIGL	768	1117	2816	4067	3956	4953	6011	6325	1165	1607	3393	3533	2077	2704
GALK1	23	42	52	82	54	66	79	204	37	35	41	63	27	63
INTS2	885	808	1377	1691	1762	1775	2284	1885	1906	1705	2004	1869	925	1380
CAMTA2	1073	1030	1069	1268	1631	1927	1623	2363	1003	1069	1146	1344	1007	1147
MED13	7093	6335	7916	9101	8119	8224	11181	10214	8734	7639	7128	6902	5543	5673
HOXB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO3	4	10	2	10	9	10	25	15	4	15	1	8	5	15
AC003958.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFN1	83	51	62	86	58	94	154	175	61	68	66	62	48	84
RNF167	146	133	184	300	204	211	562	459	178	139	221	188	62	56
SLC25A11	73	78	83	159	116	185	191	250	72	105	113	124	62	116
RASD1	1363	1372	551	974	1194	1686	2318	2491	905	763	287	311	552	417
CHRNE	1	2	7	4	1	3	0	4	4	6	2	4	0	0
RAI1	7047	5032	5761	5696	6155	4461	5603	6780	6120	5329	3204	2734	4991	4008
NUP88	1168	1053	1960	1944	1830	1317	1363	1732	1849	1683	2192	1532	1094	1205
C1QBP	269	230	260	288	223	226	231	341	301	244	219	182	265	207
SLC6A4	95	108	111	167	93	80	185	117	155	108	68	109	193	63
BLMH	473	476	768	1033	490	567	756	845	695	628	642	756	284	226
CPD	3793	4093	3823	5121	3180	3583	4621	4637	4469	4651	4444	5648	3551	3699
GOSR1	2738	2130	3520	3490	3930	3112	4950	3917	3422	2975	3665	3200	2099	2486
CCDC47	582	502	961	1176	681	711	1010	1886	839	669	920	837	479	362
MED31	773	853	1304	1581	537	553	1132	1087	998	1053	1321	1088	486	589
DRG2	281	254	338	311	259	253	213	173	321	371	276	302	252	184
FTSJ3	403	341	388	430	465	578	211	342	342	375	277	333	503	529
AKAP10	2531	2455	3752	4462	3829	3711	4641	4915	3605	3125	4300	3891	1729	2514
ALDH3A1	4	9	2	2	7	3	0	3	0	3	1	3	0	0
SMARCD2	182	174	121	270	170	208	177	238	169	230	170	248	183	206
ICAM2	4	1	4	15	4	11	51	39	7	14	4	18	1	3
SYNGR2	72	60	90	125	111	88	262	196	102	111	93	92	34	65
B9D1	1411	1149	2475	2550	2927	2089	3147	3533	2033	1708	2757	2254	2288	1882
UTP6	486	479	1271	1531	1989	1568	1991	1911	793	681	847	818	1016	1421
DDX5	3346	2539	5440	5113	3696	2779	3543	3257	6819	5964	5050	4553	2627	2418
C17orf75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYTH1	2802	2886	2694	4665	3245	3897	4575	5748	2913	3396	2314	3101	1961	3792
PSMD11	2126	1952	2903	3277	2712	2543	3429	4566	3361	2672	3362	3189	1601	1568
LGALS3BP	26	24	6	72	7	45	161	291	40	46	10	50	2	57
ASIC2	110867	125185	155718	147646	131570	100640	159973	199012	106548	132469	167936	168665	179937	188384
CCL7	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CCL2	9	10	1	4	0	5	6	14	1	14	3	2	0	1
CCL8	0	0	0	2	0	0	0	0	0	0	1	0	0	0
CCL1	0	0	2	8	0	2	0	0	1	3	0	5	7	2
PEX12	175	203	178	261	95	126	374	221	309	207	203	165	281	121
KRT32	1	3	1	23	1	5	105	74	0	10	4	8	0	2
DHX58	11	47	47	104	83	135	151	119	81	114	75	132	20	107
KAT2A	633	484	1123	1277	1126	933	910	1166	923	1039	1043	1217	679	1050
RAB5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLU	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLX	138	119	99	187	79	106	110	182	128	154	119	97	54	53
CNTNAP1	50	73	63	112	120	174	233	339	63	104	59	75	100	162
ABI3	23	45	7	25	15	77	2	58	7	11	7	26	60	194
EZH1	2334	2508	2436	2839	2735	2766	3557	3015	3548	3915	2470	2543	3428	4225
DLX4	0	0	10	18	16	6	12	31	5	3	19	39	0	13
PPP1R9B	197	258	97	201	322	339	231	420	147	115	186	139	136	52
COL1A1	8	14	7	25	1	17	20	9	10	61	4	10	57	84
SGCA	5	8	3	8	1	3	7	2	11	20	5	3	0	0
PTGES3L-AARSD1	24	27	44	52	47	40	12	58	55	49	18	39	17	66
MRPL27	62	66	185	225	160	168	284	208	125	122	152	142	28	46
VAT1	176	198	247	362	234	251	631	906	238	196	185	187	140	114
LRRC59	225	171	306	439	337	228	261	338	310	268	301	221	250	138
RND2	44	75	69	161	29	176	68	620	50	92	34	126	10	53
ALOX12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC5	806	758	704	1159	919	899	1292	1172	801	872	571	819	756	649
ABCC3	106	132	84	149	109	102	27	62	59	131	67	109	54	132
LUC7L3	11986	11581	21623	21548	21404	20257	12990	12270	19410	24816	30921	27974	34316	36713
PPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP2	1914	1208	2636	2286	2192	1704	3151	2711	2387	1744	2835	1653	1572	1348
SMURF2	2355	2529	3002	3354	3078	2787	4273	3283	2992	3054	3164	2850	1690	2642
DUSP3	973	1000	915	1619	945	1276	1521	1874	952	971	1010	870	749	661
CACNG1	13	11	42	32	18	29	42	55	14	14	33	40	6	13
EFTUD2	713	617	1182	1312	1117	1122	1449	1373	998	911	1176	1148	586	1054
HLF	9775	8484	10693	11835	9761	8564	14459	14906	10250	9878	10147	9485	8705	9815
SLC16A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAR1A	975	953	1317	1887	1059	1569	2539	2761	1410	1288	1555	1590	691	805
EFNB3	339	336	333	597	469	835	1556	1934	485	385	386	494	410	452
FAM20A	41	29	43	102	37	42	8	40	80	58	47	59	16	42
YWHAE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016292.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMD	1257	1124	1702	1918	1383	1093	2667	3328	1681	1322	1715	1062	1028	1223
RANGRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPH1	672	559	887	820	1061	676	1287	1073	922	804	960	779	683	769
MAP2K6	1732	2337	1758	2723	2062	2385	2161	2468	1806	2339	2341	2732	1513	2276
DHRS7B	989	1272	1252	2265	1555	2564	1772	2806	1551	1828	921	1422	1315	1606
WSB1	967	1199	4857	7836	5168	6008	5696	7821	1681	2022	4971	5814	2288	3296
RCVRN	390	469	457	248	390	180	425	127	418	359	205	87	480	455
MYH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A3R1	38	106	25	64	65	81	122	260	43	58	18	37	171	85
MYH3	110	129	167	233	209	229	220	427	181	175	137	142	211	99
NAT9	123	97	217	224	271	204	253	198	197	189	154	172	423	145
TMEM104	602	666	900	1023	1221	817	1047	1412	753	776	717	622	749	672
VTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP1	775	696	647	1079	779	929	1403	1201	869	767	794	755	658	610
IFT20	920	765	1266	1431	1014	828	1030	919	1380	1170	1513	1311	891	1076
TMEM97	212	252	145	216	196	217	128	364	263	284	177	201	115	138
CDR2L	130	207	127	293	155	336	285	586	133	164	134	227	312	184
PMP22	124	217	84	270	54	144	809	691	179	278	64	79	68	251
FOXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPT6H	1457	1572	2555	2729	2431	2241	3872	3307	1955	2029	2659	2491	1311	1217
RAB34	1	6	2	15	1	2	1	7	3	10	0	5	1	0
PHF12	1600	1225	1760	2109	2100	1862	3242	3457	1451	1406	1657	1617	1823	1387
PHOX2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM33	925	1041	1132	1965	833	995	1812	3117	1198	1014	1050	1038	332	527
GABRA4	9839	7165	13791	11548	9425	7474	10248	9867	14608	9719	15183	10866	8069	6696
GNRHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLAIN2	3137	3157	4414	5547	3416	3755	3954	4495	4831	3955	5242	4662	2586	2834
OCIAD1	1537	1711	2044	2139	1928	1914	2255	3217	2389	2042	2407	2153	1420	1305
UGT2B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CWH43	7	4	18	14	9	12	12	8	13	28	20	21	9	20
DCUN1D4	5628	5966	7137	8745	6969	6815	6707	8047	7816	7762	8117	7944	5171	6971
USP46	2480	2254	2517	3173	2558	2474	3567	2429	2855	2379	2646	2644	1705	2183
SULT1E1	1	1	1	2	7	4	4	6	1	1	3	1	0	2
ODAM	2	0	0	0	0	0	0	0	0	0	0	0	1	0
SMR3A	0	0	4	0	2	0	0	0	1	1	1	0	0	0
CHIC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMU	47	44	49	161	62	166	96	173	95	85	62	144	98	99
KIAA1211	2679	5881	500	9889	779	8050	3336	11203	2371	7661	323	5935	2236	5123
LAMTOR3	367	367	586	837	399	491	747	489	509	318	587	515	276	217
PF4V1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB1	5813	6139	6243	9294	5254	6468	6301	6444	6956	7454	5916	6028	3588	5030
AREG	2	0	1	2	0	2	0	1	2	2	0	1	0	0
MANBA	2151	2664	3323	5841	3591	5117	3828	5422	4162	4697	5542	7136	4167	4705
UBE2D3	9580	8395	9628	10902	7405	7344	10016	9717	12939	11783	8204	7631	6032	6335
MAPK10	88133	77697	74051	69296	70147	65905	60844	58336	92041	86304	89836	81030	73942	81432
ELF2	4532	4403	4973	6204	6513	6283	6204	5240	5041	4953	3931	3996	5290	5012
NDUFC1	249	244	280	384	411	418	381	274	320	346	255	272	596	381
UCP1	134	118	59	130	64	106	56	100	253	225	178	181	251	229
TBC1D9	2274	2331	3818	6128	3155	4613	4272	6435	3037	3096	3731	4437	2696	2953
ZNF330	200	198	345	479	233	336	355	772	311	323	220	293	54	119
INPP4B	37960	39531	19248	34958	19245	25929	37176	33294	36227	38807	16218	32656	21101	29124
GAB1	24165	20108	14582	10885	12726	10585	13963	8995	25842	18671	15743	11584	12126	12368
KLHL2	8589	8205	15054	10055	9291	6041	10598	7431	12073	8581	18679	9478	5595	5018
IL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPE	14953	15725	14477	14259	11206	9952	18624	16710	16114	14544	11637	9654	8479	8828
RPL34	167	230	352	582	304	344	613	579	263	198	247	243	87	174
WFS1	325	202	340	453	466	415	494	1000	441	368	909	503	196	131
ANXA10	27	28	10	38	6	15	1	32	25	32	12	14	29	62
GRPEL1	465	344	592	754	575	572	590	707	561	478	762	658	552	309
GAR1	218	105	354	411	108	204	608	197	287	272	206	177	74	22
FRG1	8	7	7	16	9	2	7	3	13	7	13	21	0	7
CLCN3	4015	4255	5369	7504	5031	5671	6403	7815	6316	4924	4750	4916	2892	2556
AADAT	1409	1084	2341	2816	2070	2072	3865	2261	2819	2419	2447	2306	1719	1856
GALNT7	4571	5017	6581	12655	4429	7522	8007	11737	5934	7183	4450	6662	3882	4725
DHX15	2524	1987	3597	3923	2584	2389	2953	2902	3253	2822	3444	3241	1711	1565
SOD3	25	25	39	96	37	45	121	56	13	9	18	29	8	3
SEPSECS	199	139	436	388	328	256	326	414	391	248	589	505	61	171
CPZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM2	18068	20885	18852	26833	16721	19853	31543	36690	20954	20636	16894	18528	19748	22953
SLC2A9	949	911	526	1298	887	985	1866	1964	1102	1016	690	964	1252	877
FBXW7	13369	10856	20284	17989	13233	11422	14664	14209	20800	14617	20309	16123	8450	9168
NEIL3	1	12	0	11	1	3	0	0	2	10	1	0	0	1
TBC1D19	6810	6514	10433	11467	10076	10325	10601	10744	11562	11002	11775	10853	8759	9405
CLNK	38	32	56	93	57	112	126	250	62	93	93	144	90	74
WHSC1	5867	5932	5460	6543	6069	6096	6395	8082	7204	7322	6725	6156	5393	6217
SH3D19	4367	5270	5234	5872	5479	5588	6940	6961	5806	5580	6919	6982	4508	5829
STIM2	3211	3530	4455	5441	3628	3843	3856	4496	4069	3978	3899	3907	1893	3070
NKX3-2	0	0	0	0	0	6	0	0	1	0	0	1	0	0
MFSD10	59	50	101	95	103	86	245	188	79	71	107	83	97	129
GLRB	7630	8402	7929	9932	5274	6376	6937	7617	8222	7952	6914	7113	3705	5567
BST1	86	30	50	37	44	32	17	85	122	63	67	75	83	14
RAPGEF2	46307	33695	45415	33966	34406	26703	33257	25542	50790	36499	47185	34681	27653	29635
HGFAC	16	17	1	39	3	18	46	22	29	91	2	20	32	79
SNX25	3922	4158	5821	6074	5014	4626	4302	6075	4510	4307	4462	3713	3299	4233
LRP2BP	213	238	385	291	294	292	283	275	401	410	432	382	172	223
UFSP2	928	838	792	908	775	876	789	703	1239	1200	658	802	1059	1012
KLF3	482	984	441	1739	502	1308	1112	2280	865	1138	453	1085	669	1134
KLHL5	651	1329	431	3596	441	2831	1430	3295	971	2467	511	2709	1206	1913
FAM149A	522	472	1322	1344	1449	1261	1852	1589	1004	836	1525	1469	1000	809
NCAPG	141	147	184	215	137	134	302	254	381	364	170	215	235	284
UGDH	346	311	388	751	405	430	647	563	365	495	328	412	163	230
PPARGC1A	5270	4835	6566	6146	5462	5388	4473	5116	5692	5043	7191	6580	6826	6703
DDX25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYAB	195	224	105	291	106	214	837	646	376	429	99	160	342	153
DBX1	13	10	3	9	1	5	5	4	16	7	2	2	0	27
HTATIP2	405	331	546	494	671	549	709	622	635	525	542	379	627	228
CTSC	96	120	130	387	126	241	184	297	142	174	160	265	82	106
CCDC34	894	1131	931	1053	744	996	880	884	1296	1313	940	1042	1100	860
ZBTB16	40866	25455	25973	24938	22145	16271	26302	22412	33887	28928	21957	19931	19819	16488
ELP4	2759	2996	3534	4107	3736	4306	3697	3259	4015	4138	2786	3013	2861	3307
ZPR1	382	361	436	707	720	870	773	1217	385	356	504	517	304	427
MTCH2	593	602	1352	1872	1229	1448	1696	2681	1069	995	1356	1424	673	869
FNBP4	2957	2629	6011	6381	5796	4897	6144	5288	5188	4551	6250	5104	4291	3494
TECTA	661	995	1357	1989	1242	1341	1402	2100	1120	1293	1292	1663	1106	1457
SC5D	835	817	1164	1169	908	699	982	1368	1369	1053	1420	801	673	878
CRTAM	214	232	90	132	82	121	30	134	215	311	85	119	129	298
C11orf63	1187	1108	1006	1366	1533	1627	1883	2643	1677	1782	1004	1187	1790	1317
B3GAT1	6008	4974	7932	7355	9032	6084	8966	8259	6777	6069	6359	4745	4208	3956
HSPA8	3015	3518	1549	3439	2208	3565	4738	8703	3106	3174	2647	2932	1306	1170
P2RX3	2	18	24	18	6	6	6	2	16	9	11	21	0	1
VWA5A	222	319	161	1250	306	740	724	1295	423	779	378	977	178	235
DNAJC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIAE	1274	1447	1645	2184	1431	1364	2129	2637	1574	1564	1466	1538	572	942
SNX15	90	109	134	186	151	172	136	237	132	89	103	92	35	59
LPXN	474	668	1303	2100	879	1547	1707	2347	661	832	1310	2013	582	1069
DTX4	1570	1616	2222	3079	2341	2093	2505	3274	2259	2246	2426	1948	2770	2165
ATG2A	123	141	122	216	210	220	239	292	120	189	222	206	104	152
EHD1	106	176	74	247	129	159	254	157	204	186	74	110	75	122
OSBP	923	908	1785	2208	1807	1822	2040	2983	1544	1358	2027	1678	1433	1259
UNC93B1	32	36	39	27	43	22	51	28	84	66	53	31	160	74
PUS3	32	28	38	35	33	41	11	31	51	29	35	19	10	30
DCPS	455	432	596	653	902	764	791	819	448	302	404	332	347	323
SUV420H1	2547	2271	3982	4859	3095	3156	4119	3503	3856	3680	3265	3214	1690	2052
FOXRED1	913	849	1106	1311	1153	1217	1116	1032	1026	1008	1284	1124	634	1163
PPP6R3	11484	10225	12853	13442	11473	10649	11471	12936	14103	12426	12857	11756	7542	8089
NRXN2	8153	6460	5749	7494	6958	6282	9215	10290	8219	8296	4219	4255	6605	6312
MS4A6A	11	10	0	3	0	1	3	2	18	20	1	5	166	7
MS4A4A	5	1	5	16	6	4	7	2	7	10	3	6	7	23
ST3GAL4	1561	1230	1427	1570	1658	1239	2196	1264	1700	1541	1189	1051	1170	1296
CPT1A	139	225	72	217	251	422	384	548	200	162	190	215	211	908
CCND1	46	70	70	148	54	163	28	166	74	82	41	79	36	91
CCDC86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF19	1609	1287	2106	1990	1847	1617	2571	2173	2353	2042	2567	1912	1505	1922
TMEM109	128	84	203	215	171	77	333	224	212	157	223	117	137	255
CCKBR	701	603	1889	1846	1542	1261	2263	2270	1399	1121	1151	934	1222	1106
HPX	73	91	71	129	14	51	89	137	59	57	50	52	24	69
TRIM3	795	948	1450	2149	1230	1146	2263	2651	1270	1329	1068	1130	1203	1509
CHORDC1	2896	2538	2963	3224	1944	1749	1699	1774	3992	3532	2766	2657	1522	1646
FOLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC15	26	14	35	78	26	13	77	101	46	28	23	21	16	9
FOLR3	12	3	2	7	4	1	2	0	10	5	1	2	0	3
PANX1	268	317	384	866	362	492	997	1208	366	416	324	469	166	306
ARHGEF17	1441	1394	1194	1725	1152	1262	1046	1977	1363	2001	1263	1548	1086	1813
APOA5	2	0	0	4	0	0	0	0	1	4	0	3	0	0
APOA4	0	0	0	0	0	0	0	0	0	3	0	0	0	0
APOC3	0	1	2	0	2	3	0	1	2	1	0	1	2	1
CEP164	1608	1692	2235	3793	2079	2708	3123	3115	2437	3018	2070	2827	1978	2691
RNF141	1405	1130	2207	2507	1456	1668	1982	2001	2612	1795	2894	2608	1558	1038
CEP126	7910	7789	9094	10153	7601	9996	8519	11231	12559	12836	13711	11295	11640	11424
EIF4G2	1242	1104	1196	1678	1302	1766	1516	1594	1496	1407	987	1162	777	725
IL10RA	37	44	32	88	54	80	113	60	68	95	25	70	73	105
GALNT18	27948	19041	46046	36778	32978	24316	33909	35864	37579	31043	30898	24291	26185	26535
BIRC2	1329	1434	1737	2666	1622	1926	2767	3645	1779	1865	1517	1847	1055	880
UBE4A	2328	2105	2480	3192	2490	2396	3125	4396	3663	3157	2174	2113	2304	2351
DDX6	1934	2021	2538	3937	2209	2753	2667	3590	2321	2411	2379	2419	964	1408
UPK2	170	236	176	493	271	358	269	1272	205	344	169	306	379	309
CBL	2769	2610	3760	4410	3960	3862	4517	6127	3388	2809	3098	2790	2873	2375
PVRL1	2751	2419	2231	3666	2749	2851	3686	5085	2112	2367	1546	1852	1849	2138
HIPK3	3752	3309	4839	6038	4029	3877	4470	5542	4845	4090	4924	4231	2840	2371
KIAA1549L	15756	16732	19993	19320	16750	15531	22821	21378	21958	19670	19195	15959	12617	13771
FBXO3	2555	2177	3595	3707	2827	2554	3445	3211	3898	3025	4049	3443	1775	2516
PDHX	4640	5217	7729	8861	5738	5799	7180	8564	7317	6847	9052	8331	4317	5270
SLC1A2	4533	5992	4622	10725	4057	6494	7760	11155	5085	6586	3664	5288	3486	4683
COMMD9	457	464	827	1339	693	757	1073	1235	728	612	837	686	432	409
SLC15A3	46	25	43	71	53	27	28	158	59	62	16	32	30	12
CD5	190	129	377	507	344	381	316	552	204	244	201	373	221	512
ACCS	240	268	547	942	487	583	744	664	363	407	462	593	207	277
SCGB2A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDK	23	17	32	13	35	17	14	20	41	32	15	17	67	13
AMBRA1	7401	6923	8453	9757	8503	8106	10261	11474	8312	7511	8435	7295	7978	7734
MADD	3726	3078	5033	5551	5084	4491	4850	5946	4425	4034	5213	4551	3733	3125
PTPMT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA40	618	526	678	1062	717	967	1122	1580	583	547	486	615	386	628
CARS	199	114	196	164	137	83	38	17	38	36	228	137	38	17
SLC22A18	47	71	42	70	84	50	19	21	32	44	25	36	50	40
CD81	305	286	222	421	197	248	352	725	354	435	288	225	144	233
SLC35F2	125	263	177	500	376	551	680	544	266	348	263	280	351	367
C11orf21	0	4	7	3	10	4	0	5	2	2	12	8	0	0
ELMOD1	4744	4541	5952	8176	7166	7756	7786	8173	5709	5379	7465	6141	5195	6445
CALCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX6	988	4177	277	12239	309	9772	1763	12669	2536	6932	477	10166	1151	6328
C11orf58	1401	1331	2119	2660	1424	1796	2159	2577	2499	2423	3083	2749	1200	1585
PITPNM1	255	180	222	265	208	168	275	311	168	263	180	212	104	129
RPS13	112	83	214	432	86	111	219	677	167	124	123	130	28	24
AIP	98	73	88	132	82	97	195	414	83	95	78	87	250	57
NUP98	3376	3423	5256	6069	5585	5145	5362	5922	4998	4389	4676	3964	3161	3712
NDUFS8	161	151	178	317	295	339	215	507	167	273	177	196	212	283
TCIRG1	8	16	6	7	10	16	20	10	6	10	8	14	3	10
CHKA	2256	2529	8117	7366	7227	6253	8229	6669	3096	2810	6989	5488	3712	4906
EXPH5	263	310	834	606	555	480	155	423	463	499	1380	811	419	600
HPS5	1068	977	1476	2015	1228	1139	1195	1499	1733	1493	1478	1614	1203	888
GTF2H1	1024	1010	2466	2702	2042	1959	3061	3402	1718	1495	1834	1630	963	1076
POU2AF1	3	4	12	6	7	14	7	5	7	6	1	7	10	3
PTPN5	4355	3576	4874	6245	4217	4354	5166	6425	4587	3815	3238	3305	4804	4312
VWF	177	83	556	233	437	130	391	105	434	192	307	115	209	44
PSMD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3H3	227	166	337	364	432	318	295	295	225	244	251	276	341	400
PPFIBP1	14996	10948	21004	14207	19085	12763	16807	11703	22220	15843	25229	16568	16311	15675
PRPF40B	1859	1694	2335	2818	2699	2537	2996	2575	2561	2687	2571	2473	3359	3010
CD69	3	1	3	8	10	0	29	3	2	2	7	10	0	0
PRDM4	238	217	306	450	288	334	297	297	351	327	176	220	167	150
CLEC2B	5	3	6	17	8	10	7	14	13	12	1	7	3	1
COQ5	121	142	193	339	226	342	246	319	165	149	104	182	214	155
SELPLG	14	41	3	35	1	24	3	10	12	58	1	6	2	53
CORO1C	2504	2952	2207	4034	2077	2717	4178	4740	2482	2840	1627	2435	1780	3215
ASIC1	1245	908	720	1402	734	979	1775	2420	1115	1094	733	1045	1396	1092
DAO	665	739	498	703	469	779	1410	662	866	1101	318	439	1359	1234
CAPRIN2	3736	4545	7645	9320	6335	7274	6772	9300	6059	6697	9202	9309	6411	8142
TSPAN11	650	863	857	1576	647	1142	881	2034	842	1282	1370	2007	833	1281
KCTD10	403	388	771	1010	524	428	754	742	562	543	787	619	254	313
SLC11A2	1877	1799	2824	3695	3462	3247	4570	5538	2527	2446	2620	2852	1887	2212
MLEC	596	463	752	872	973	951	1385	942	662	598	725	546	503	432
MVK	184	223	297	368	412	417	224	400	268	277	316	217	420	279
CSRNP2	2569	2273	4086	4994	3711	3393	5455	5904	3134	2997	3055	2543	1820	1845
CAMKK2	3896	2562	5189	4656	7317	4452	6370	4667	4829	3248	6310	4056	5809	3637
BIN2	103	63	137	27	190	46	160	40	301	108	168	32	225	61
IL23A	10	8	10	10	12	12	8	9	17	19	12	9	7	3
ATP5B	739	695	1063	1713	1663	2090	3860	6242	886	859	1347	1365	1150	1263
PTGES3	1067	1150	1192	1473	1491	1927	1764	1365	1315	1165	1141	1057	1512	1918
SYT10	446	510	632	1255	304	694	1413	1754	2112	1295	1137	1714	327	393
BCL7A	404	356	412	677	743	743	661	979	482	471	621	513	798	591
RSRC2	1564	1399	2395	2869	2185	2049	2689	2001	2542	2591	2864	2561	1381	1455
CYP27B1	30	17	26	21	24	17	3	26	30	46	24	9	6	7
MYF6	0	0	0	0	0	1	0	0	0	0	1	2	0	0
MYF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN7A	10301	8559	10023	8751	9878	9230	9297	7993	12563	10713	15039	10880	9604	9552
KRT18	0	0	1	0	0	2	0	0	0	0	1	2	1	2
ACSS3	349	433	681	981	375	708	588	663	749	903	817	1220	463	1161
TNS2	145	162	124	247	189	264	486	459	186	339	129	237	382	411
GLI1	20	8	25	11	63	37	7	4	14	13	37	12	57	34
PPM1H	16973	14469	23253	21887	22479	18733	21791	20885	19777	15170	26889	18783	19383	18558
METAP2	1129	1074	2084	2520	1872	1962	2469	2235	1889	1630	1937	1784	1043	1068
LTA4H	498	591	687	988	515	506	434	599	734	771	731	649	174	643
ELK3	2204	1956	1716	2036	1511	1442	2547	2436	2672	2660	1371	1384	1301	2253
SLC6A12	22	32	37	34	18	21	99	16	67	47	22	16	194	55
WNT5B	568	611	607	1081	904	1416	1350	1571	901	979	1220	982	851	1297
MAGOHB	404	337	682	614	525	418	326	432	661	604	779	675	240	237
TRPV4	60	52	32	48	30	33	18	31	34	43	11	27	4	7
ITFG2	1524	993	1324	1215	2076	1676	1736	1666	1740	1556	1586	1205	1200	891
FOXM1	224	93	176	105	337	194	199	174	272	178	315	181	121	58
PRR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRMT8	3751	4442	8758	10519	7148	7849	6317	11862	5647	6463	8908	8382	9864	9876
PARP11	3762	3532	5142	5698	3586	3133	4862	4174	5458	4903	5034	4418	3010	2607
ARPC3	17	10	24	26	58	74	62	145	53	16	27	44	23	45
GPN3	63	52	78	54	47	96	55	98	88	77	71	67	69	147
VPS29	641	615	815	1223	822	848	924	1257	884	888	735	688	709	780
FGF6	103	177	66	95	85	98	251	142	293	348	25	42	47	198
MYL2	0	0	3	0	0	1	0	0	0	0	0	0	0	0
RAD51AP1	96	80	128	178	63	128	82	178	191	190	143	185	19	42
CUX2	24574	8162	26621	14036	28662	13944	11831	15688	19418	8629	22139	10932	23383	17462
SH2B3	1222	1073	1149	1227	1368	1111	1630	1177	1475	1332	833	814	1112	888
AKAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANSC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA1	3302	3779	3215	3589	3386	2801	4621	3761	3412	2817	2741	2051	3270	3559
DUSP16	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CREBL2	1540	1211	2564	2160	2164	1660	2848	2511	2025	1552	2394	1738	1308	1307
ACAD10	566	495	654	882	900	980	884	1104	781	635	700	743	934	782
ALDH2	478	416	353	441	372	573	690	864	585	714	276	381	819	460
CDKN1B	308	273	253	409	209	281	190	580	286	314	333	332	201	102
GPRC5D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA25	2822	2689	5661	5807	4513	4280	5296	5548	4261	3770	6399	5392	2728	3296
GSG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1A	12	8	9	15	6	14	37	5	15	11	11	21	18	4
LTBR	12	12	16	16	16	7	29	3	14	17	22	9	34	8
OGFOD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK2AP1	79	106	64	129	32	48	54	84	57	64	72	77	21	78
OAS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASAL1	1303	1235	2455	1710	1879	1076	3354	2799	2057	1764	1916	1134	1646	2023
ARHGDIB	20	20	97	53	92	41	122	29	67	59	96	70	19	206
GTF2H3	594	532	1029	1064	853	924	938	1071	1123	845	1233	1046	773	712
